"","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"464","ENSG00000148123",-3.5166910421435,-2.25210628700033,-14.5978352030523,2.13401295820982e-43,1.9790798404297e-42,87.6591975054439,"PLPPR1"
"465","ENSG00000148513",-7.59486369885379,2.89543065066501,-15.5071882041001,3.78502353660071e-48,4.18766180892745e-47,98.4903366600366,"ANKRD30A"
"466","ENSG00000148704",3.09144571830604,-5.45117637576102,11.8057855206324,5.70385168117212e-30,3.14534224784316e-29,57.1786101398626,"VAX1"
"467","ENSG00000148773",4.41726989238848,5.69882235008151,28.5036350453939,3.06713853092034e-127,4.81173427374743e-125,279.910280339505,"MKI67"
"468","ENSG00000148798",4.10295114245515,-3.3622224795492,15.6460508109914,6.88819336841355e-49,7.83943432055024e-48,100.305450304594,"INA"
"469","ENSG00000149090",-4.57895236908067,2.67954857985098,-36.1799966036709,1.50867953113033e-176,1.31752983453612e-172,393.242473934049,"PAMR1"
"470","ENSG00000149124",-7.12578763228003,-2.16469733936067,-26.1446074033879,4.71049602226836e-112,4.30000994032783e-110,245.037881505228,"GLYAT"
"471","ENSG00000149451",-4.57114854040777,2.03903072813422,-29.5736780137259,3.75798748243038e-134,8.0701241026388e-132,295.814049797139,"ADAM33"
"472","ENSG00000149534",-3.20522188064527,0.806647776591406,-14.7115146807093,5.55278784542371e-44,5.24054354330892e-43,88.959428325488,"MS4A2"
"473","ENSG00000149554",2.88502906650341,3.47564940957304,30.4320542945349,1.07013136243997e-139,3.26004320518196e-137,308.555002738299,"CHEK1"
"474","ENSG00000149575",-5.70441004930885,-0.531668196169678,-29.646591738041,1.2701377330402e-134,2.75011061718349e-132,296.828084567413,"SCN2B"
"475","ENSG00000150471",-3.17600195316775,0.861090069256748,-17.752230856001,1.56539882730291e-60,2.75988451389696e-59,126.780222432245,"ADGRL3"
"476","ENSG00000150594",-3.39820299127266,4.10337607978448,-21.5282506484512,5.69737831340944e-83,2.0008795500404e-81,178.173846458458,"ADRA2A"
"477","ENSG00000150625",-3.90560160726332,-0.829180059315025,-15.4139595583251,1.18242133336636e-47,1.28221260400933e-46,97.3763198010565,"GPM6A"
"478","ENSG00000151025",2.971049198412,-0.596679310352981,11.9191212167226,1.77417733831518e-30,9.98532160827485e-30,58.1023570647963,"GPR158"
"479","ENSG00000151079",-3.01352672716409,-1.46435262374423,-14.9790927219626,2.27853690337729e-45,2.25947722678204e-44,92.1629679098563,"KCNA6"
"480","ENSG00000151090",-2.96357279505407,4.61395790047332,-26.3037945500437,4.48974127808944e-113,4.20095470516662e-111,247.312401371937,"THRB"
"481","ENSG00000151303",-2.90089437730272,-4.57639743556681,-19.7529094795542,3.26073684737273e-72,8.36709546173537e-71,153.644256836334,"AGAP11"
"482","ENSG00000151365",-6.13674874456013,1.98974492235298,-23.4886805047789,3.60832674130607e-95,1.88315841226051e-93,206.264532056142,"THRSP"
"483","ENSG00000151632",-3.90335135798585,2.29016919083462,-18.0510501961568,3.05237261545225e-62,5.66754855791874e-61,130.565274512521,"AKR1C2"
"484","ENSG00000151655",-3.30534699730745,-1.10613461820728,-16.4691172821839,2.39086062944912e-53,3.22544581003797e-52,110.425831439368,"ITIH2"
"485","ENSG00000151790",4.32574851780913,0.664186355204495,20.8530799431772,7.65704673863661e-79,2.35454187213076e-77,168.868306881321,"TDO2"
"486","ENSG00000151834",-4.77385427647589,-2.09666750048459,-17.7937441676597,9.07522199353751e-61,1.61194400683857e-59,127.462234824695,"GABRA2"
"487","ENSG00000151882",-3.25781374098768,4.01629406557226,-14.9730947730347,2.44852645826227e-45,2.42254322809717e-44,91.7099354038017,"CCL28"
"488","ENSG00000151892",-5.086897354155,6.55017196778633,-17.4691939027382,6.33774590168281e-59,1.05156811195812e-57,122.962017897954,"GFRA1"
"489","ENSG00000152092",-2.88680637734838,-0.387234530433597,-13.6202521806536,1.74234932852001e-38,1.34139906135456e-37,76.3488903919682,"ASTN1"
"490","ENSG00000152137",-2.86262160571232,4.46337098115743,-13.2161219780455,1.61474372278491e-36,1.15649728795085e-35,71.5314684787015,"HSPB8"
"491","ENSG00000152154",-3.5388378914942,0.67041497842962,-28.4377637146657,8.16555289259185e-127,1.26585396587582e-124,278.94883754517,"TMEM178A"
"492","ENSG00000152192",4.48068041837225,-4.64118595478329,18.2679401574678,1.7193456704999e-63,3.34410818273399e-62,133.684760701716,"POU4F1"
"493","ENSG00000152253",3.50444074854412,2.20256286322283,29.7439668869762,2.98330793065198e-135,6.68031491240608e-133,298.306791333403,"SPC25"
"494","ENSG00000152578",-5.63250384280429,-1.00491199348679,-21.9348089425292,1.77887089670844e-85,6.95591621236784e-84,184.068283121333,"GRIA4"
"495","ENSG00000152580",-3.70353844480272,1.91693130316922,-21.3837810422439,4.39103362636417e-82,1.49209714626608e-80,176.173208403272,"IGSF10"
"496","ENSG00000152583",-2.99198927184063,8.08621233924612,-27.2565634687689,3.37513468309485e-119,3.94755149832152e-117,261.345291698255,"SPARCL1"
"497","ENSG00000152779",-4.65558042198456,-1.41322176620241,-23.2338784952979,1.43918879234351e-93,7.23710310376348e-92,202.632835724695,"SLC16A12"
"498","ENSG00000152785",-3.90924295601014,-3.0176086925329,-18.3145878626853,9.2427794028484e-64,1.82480465392031e-62,134.309755615032,"BMP3"
"499","ENSG00000152932",-3.58829524118882,-0.0921912700221726,-16.5737244436265,6.3545151983963e-54,8.70266302575979e-53,111.709426985899,"RAB3C"
"500","ENSG00000152953",-3.12406135159373,2.98871615177737,-15.6022390390503,1.180228961903e-48,1.33279390400417e-47,99.537858133029,"STK32B"
"501","ENSG00000152977",4.36439226857154,-1.07455089472987,14.6989815822249,6.4432593364048e-44,6.0700090382765e-43,88.8173614205557,"ZIC1"
"502","ENSG00000153002",-5.94778675374628,2.65018542522396,-8.94828108131301,2.08813646652958e-18,6.98267523827312e-18,30.4381627374144,"CPB1"
"503","ENSG00000153253",-4.16147175153442,-0.632965826848342,-23.5361603473037,1.81370554182783e-95,9.56408349468628e-94,206.994680670663,"SCN3A"
"504","ENSG00000153303",-4.42780366747894,-1.79856804149378,-21.189153200072,6.82970977922702e-81,2.2255169963429e-79,173.567130190834,"FRMD1"
"505","ENSG00000153446",-4.65055093962384,2.17828798722935,-19.3636399224943,6.70763446781453e-70,1.61519591380765e-68,148.248312667406,"C16orf89"
"506","ENSG00000153822",-4.6173915866964,-1.8128271922268,-20.1690880054236,1.04913444956664e-74,2.89329194149435e-73,159.360159297192,"KCNJ16"
"507","ENSG00000153930",-3.13992465208381,-2.00944360239974,-11.619129010421,3.83605318337828e-29,2.04145353141027e-28,55.1525746486479,"ANKFN1"
"508","ENSG00000153993",-3.01529101674346,1.76102330510218,-17.687989799162,3.63502811355021e-60,6.31525872326936e-59,125.881807171623,"SEMA3D"
"509","ENSG00000154027",-4.24981802205143,3.09692695660672,-19.0159086151127,7.54028771300282e-68,1.69569096817992e-66,143.48133877683,"AK5"
"510","ENSG00000154065",-3.67791698099504,2.09127849800091,-29.1080152792053,3.83232917138914e-131,7.22325122023195e-129,288.900980674693,"ANKRD29"
"511","ENSG00000154162",-3.70780558739192,-3.61200990992521,-17.2194053736294,1.62219234856009e-57,2.55714905775726e-56,120.011739801222,"CDH12"
"512","ENSG00000154175",-3.214141122714,4.28202096982132,-18.4686137185322,1.18464051020235e-64,2.4152837919682e-63,136.050582280032,"ABI3BP"
"514","ENSG00000154258",-5.05037735091152,1.98259629562615,-31.1417933244287,2.79913650619287e-144,1.04763681893924e-141,319.083772719442,"ABCA9"
"515","ENSG00000154262",-3.72542023383409,2.55740218230153,-26.1071392852241,8.18904938986387e-112,7.34742825222752e-110,244.476649448827,"ABCA6"
"516","ENSG00000154263",-4.67475469893432,0.958361145483045,-32.4265300560644,1.46736384904103e-152,8.5429923291169e-150,338.095857668689,"ABCA10"
"517","ENSG00000154330",-4.2234223508582,2.73223042899302,-30.5227379147048,2.77803188075311e-140,8.66448300522033e-138,309.8997064109,"PGM5"
"518","ENSG00000154721",-2.94287098923908,4.05172127581522,-29.8200768027372,9.61494041453158e-136,2.20966512210801e-133,299.437473873054,"JAM2"
"519","ENSG00000154736",-3.14326202927458,3.92126515044895,-25.7534036391504,1.50809048659035e-109,1.2704328828997e-107,239.188693196327,"ADAMTS5"
"520","ENSG00000154839",4.59428201193135,2.02094987438162,34.1712425232295,9.32912784469082e-164,1.35785455779475e-160,363.725060202427,"SKA1"
"521","ENSG00000155511",-5.45693338082238,-2.00762892019956,-17.4014457649146,1.53049352039446e-58,2.49672476592867e-57,122.368933138019,"GRIA1"
"522","ENSG00000155886",3.3446778984176,1.03771518826703,10.9324344153272,3.51530312119214e-26,1.65523771517097e-25,48.4049216783411,"SLC24A2"
"523","ENSG00000155918",3.31873346591352,-3.10159506764469,13.7716493834296,3.12204298630771e-39,2.47861830903866e-38,78.1935387094479,"RAET1L"
"524","ENSG00000156076",-3.49508169766431,-1.06595542333958,-10.9426094541358,3.18453325565314e-26,1.50218917473634e-25,48.2372337247793,"WIF1"
"525","ENSG00000156096",-3.32409586314474,-3.60064899750888,-9.96038869294578,3.20290863541118e-22,1.26756802627096e-21,39.4618717555558,"UGT2B4"
"526","ENSG00000156219",4.30777210703129,-1.57451084365061,16.2243553808889,5.21866802030292e-52,6.70215115019197e-51,107.337333259111,"ART3"
"527","ENSG00000156234",3.50345409489823,2.11287625300559,9.04813503618871,9.07830719883666e-19,3.08645951599171e-18,31.299899137559,"CXCL13"
"528","ENSG00000156298",-3.27543897467506,2.88453675195549,-24.764311107718,3.07401888352267e-103,2.14763255278428e-101,224.759610639172,"TSPAN7"
"529","ENSG00000156970",3.92180592736016,3.12085579534401,28.2395145371573,1.55448197458495e-125,2.28797040742422e-123,276.019574512082,"BUB1B"
"530","ENSG00000157111",3.47351660707738,-2.32667025498858,18.0501375972613,3.08944029270944e-62,5.73231205585656e-61,130.833585480637,"TMEM171"
"531","ENSG00000157150",-5.95135312288286,1.2192587862661,-26.0247022934181,2.76371089150054e-111,2.43792800156305e-109,243.286962447943,"TIMP4"
"532","ENSG00000157456",4.19024321978528,3.70967409777793,32.5735192299525,1.66257025274107e-153,1.0129692570131e-150,340.270668992396,"CCNB2"
"533","ENSG00000157766",3.83388924618096,1.38138214896769,16.8819392437798,1.24918684245443e-55,1.83758821367006e-54,115.631085435332,"ACAN"
"534","ENSG00000157851",3.3104730625408,-3.89329404618858,10.9157501265099,4.13304847329793e-26,1.94053292028553e-25,48.3037502494321,"DPYSL5"
"535","ENSG00000158258",-4.6111631723589,6.21337501433361,-22.208815583497,3.57936242571673e-87,1.48850343160877e-85,187.810243599879,"CLSTN2"
"536","ENSG00000158402",4.32134064371729,1.67222560410932,30.3536083079687,3.4366398410376e-139,9.89412386762022e-137,307.310072155034,"CDC25C"
"537","ENSG00000158445",-3.13825964227465,1.08062205716531,-19.4038869311624,3.87470730928334e-70,9.38202003659097e-69,148.773022598359,"KCNB1"
"538","ENSG00000158571",-4.25804907010264,0.152609853484638,-29.0048372050598,1.77816488642116e-130,3.26034754718253e-128,287.355889040954,"PFKFB1"
"539","ENSG00000159184",4.99603537968727,-2.30443715758251,8.76552554464753,9.40598897644275e-18,3.05211178094902e-17,29.3482460398543,"HOXB13"
"540","ENSG00000159217",3.09139659196265,-2.8286090028203,11.7810209478638,7.35408170372158e-30,4.03919468670444e-29,56.8549713585449,"IGF2BP1"
"541","ENSG00000159263",5.7371427069489,-0.190746073504148,14.5346529184124,4.49760059382736e-43,4.11714318510423e-42,86.9682584678139,"SIM2"
"542","ENSG00000159763",-7.13783902164012,4.23277283063038,-12.8471160857706,9.3301337199716e-35,6.2341283685166e-34,67.6685586099867,"PIP"
"543","ENSG00000160180",-5.37291459109965,5.15434231050022,-17.1336638572316,4.91107510166323e-57,7.59087059519026e-56,118.739709157039,"TFF3"
"544","ENSG00000160182",-5.76527016239715,3.54174764577891,-9.97577962006944,2.78652501825461e-22,1.10545380001897e-21,39.4091484121812,"TFF1"
"545","ENSG00000160200",3.03082317464569,-1.81477670329734,12.3715847292079,1.55004270392796e-32,9.47714557764496e-32,62.8727748783313,"CBS"
